No	Strain	Sample	Exp_Date	Time_Point	Time_hr	Treatment	Rep	OD600	OD480	OD600_corr	Dox_conc	OD600_corr_avg	OD600_corr_sd	OD600_corr_se	Dox_conc_avg_orig	Dox_conc_sd	Dox_conc_se	Dox_conc_avg_orig_paste	Dox_conc_avg
258	C. innocuum	Ct-R2	7/30/20	6	6	Ctrl	2	79	98	26	1.92								
259	C. innocuum	DL-R1	2/1/19	6	6	Dox_10µM	1			0	10.00	63.40	94.48	29.88	6.13	6.88	2.17	6.13	8.82
260	C. innocuum	DL-R2	2/1/19	6	6	Dox_10µM	2			0	10.00								
261	C. innocuum	DL-R3	2/1/19	6	6	Dox_10µM	3			0	10.00								
262	C. innocuum	DL-R1	7/21/2020b	6	6	Dox_10µM	1	64	137	10	19.94								
263	C. innocuum	DL-R2	7/21/2020b	6	6	Dox_10µM	2	60	103	6	4.23								
264	C. innocuum	DL-R1	7/28/2020b	6	6	Dox_10µM	1	58	110	4	7.47								
265	C. innocuum	DL-R2	7/28/2020b	6	6	Dox_10µM	2	340	88	286	-2.69								
266	C. innocuum	DL-R3	7/28/2020b	6	6	Dox_10µM	3	191	119	137	11.62								
267	C. innocuum	DL-R4	7/28/2020b	6	6	Dox_10µM	4	188	84	134	-4.54								
268	C. innocuum	DL-R5	7/28/2020b	6	6	Dox_10µM	5	96	103	42	4.23								
269	C. innocuum	DL-R6	7/28/2020b	6	6	Dox_10µM	6	60	109	6	7.01								
270	C. innocuum	DL-R1	7/30/20	6	6	Dox_10µM	1	56	111	2	7.93								
271	C. innocuum	DL-R2	7/30/20	6	6	Dox_10µM	2	61	107	7	6.08								
272	C. innocuum	DM-R1	2/1/19	6	6	Dox_100µM	1			0	100.00	4.00			89.23			89.23	91.92
273	C. innocuum	DM-R2	2/1/19	6	6	Dox_100µM	2			0	100.00								
274	C. innocuum	DM-R3	2/1/19	6	6	Dox_100µM	3			0	100.00								
275	C. innocuum	DM-R1	7/28/2020b	6	6	Dox_100µM	1	62	287	4	89.23								
276	C. innocuum	DH-R1	2/1/19	6	6	Dox_250µM	1			0	250.00								
277	C. innocuum	DH-R2	2/1/19	6	6	Dox_250µM	2			0	250.00								
278	C. innocuum	DH-R3	2/1/19	6	6	Dox_250µM	3			0	250.00								
279	C. innocuum	Ct-R1	2/1/19	12	12	Ctrl	1	59	94	6	0.08	299.45	205.20	64.89	-4.08	5.42	1.92	-2.69	0.00
280	C. innocuum	Ct-R2	2/1/19	12	12	Ctrl	2	58	95	5	0.54								
281	C. innocuum	Ct-R3	2/1/19	12	12	Ctrl	3												
282	C. innocuum	Ct-R1	7/20/20	12	12	Ctrl	1	471		418									
283	C. innocuum	Ct-R2	7/20/20	12	12	Ctrl	2	472		419									
284	C. innocuum	Ct-R2	7/21/2020b	12	12	Ctrl	1	555.5	79	502.5	-6.85								
285	C. innocuum	Ct-R1	7/21/2020b	12	12	Ctrl	2	64	106	11	5.62								
286	C. innocuum	Ct-R1	7/28/2020a	12	12	Ctrl	1	416	79	363	-6.85								
287	C. innocuum	Ct-R2	7/28/2020a	12	12	Ctrl	2	517	78	464	-7.31								
288	C. innocuum	Ct-R1	7/28/2020b	12	12	Ctrl	1	436	74	383	-9.16								
289	C. innocuum	Ct-R2	7/28/2020b	12	12	Ctrl	2	476	75	423	-8.70								
290	C. innocuum	DL-R1	2/1/19	12	12	Dox_10µM	1	58	118	5	11.16	140.17	175.40	50.63	3.85	8.03	2.32	3.85	6.54
291	C. innocuum	DL-R2	2/1/19	12	12	Dox_10µM	2	58	109	5	7.01								
292	C. innocuum	DL-R3	2/1/19	12	12	Dox_10µM	3												
293	C. innocuum	DL-R2	7/21/2020b	12	12	Dox_10µM	1	57	102	4	3.77								
294	C. innocuum	DL-R1	7/21/2020b	12	12	Dox_10µM	2	64	136	11	19.48								
295	C. innocuum	DL-R1	7/28/2020a	12	12	Dox_10µM	1	416	86	363	-3.62								
296	C. innocuum	DL-R2	7/28/2020a	12	12	Dox_10µM	2	498	80	445	-6.39								
297	C. innocuum	DL-R1	7/28/2020b	12	12	Dox_10µM	1	58	110	5	7.47								
298	C. innocuum	DL-R2	7/28/2020b	12	12	Dox_10µM	2	384	88	331	-2.69								
299	C. innocuum	DL-R3	7/28/2020b	12	12	Dox_10µM	3	59	112	6	8.39								
300	C. innocuum	DL-R4	7/28/2020b	12	12	Dox_10µM	4	372	82	319	-5.47								
301	C. innocuum	DL-R5	7/28/2020b	12	12	Dox_10µM	5	234	88	181	-2.69								
302	C. innocuum	DL-R6	7/28/2020b	12	12	Dox_10µM	6	60	115	7	9.78								
303	C. innocuum	DM-R1	2/1/19	12	12	Dox_100µM	1			0	100.00	6.33	5.03	2.91	98.77	9.47	5.47	98.77	101.47
304	C. innocuum	DM-R2	2/1/19	12	12	Dox_100µM	2			0	100.00								
305	C. innocuum	DM-R3	2/1/19	12	12	Dox_100µM	3			0	100.00								
306	C. innocuum	DM-R1	7/21/2020b	12	12	Dox_100µM	1	69	328	11	108.16								
307	C. innocuum	DM-R2	7/21/2020b	12	12	Dox_100µM	2	59	287	1	89.23								
308	C. innocuum	DM-R1	7/28/2020b	12	12	Dox_100µM	1	65	308	7	98.93								
309	C. innocuum	DH-R1	2/1/19	12	12	Dox_250µM	1			0	250.00								
310	C. innocuum	DH-R2	2/1/19	12	12	Dox_250µM	2			0	250.00								
311	C. innocuum	DH-R3	2/1/19	12	12	Dox_250µM	3			0	250.00								
312	C. innocuum	Ct-R1	2/1/19	18	18	Ctrl	1	744	83	691	-5.00	511.44	124.84	41.61	-5.93	1.27	0.57	-5.93	0.00
313	C. innocuum	Ct-R2	2/1/19	18	18	Ctrl	2	710	83	657	-5.00								
314	C. innocuum	Ct-R3	2/1/19	18	18	Ctrl	3	712	83	659	-5.00								
315	C. innocuum	Ct-R1	7/17/20	18	18	Ctrl	1	438		385									
316	C. innocuum	Ct-R2	7/17/20	18	18	Ctrl	2	506		453									
317	C. innocuum	Ct-R1	7/21/2020a	18	18	Ctrl	1	513		460									
318	C. innocuum	Ct-R2	7/21/2020a	18	18	Ctrl	2	513		460									
319	C. innocuum	Ct-R1	7/28/2020a	18	18	Ctrl	1	410	78	357	-7.31								
320	C. innocuum	Ct-R2	7/28/2020a	18	18	Ctrl	2	534	78	481	-7.31								
321	C. innocuum	DL-R1	2/1/19	18	18	Dox_10µM	1	263	92	209	-0.85	259.00	120.33	53.82	-2.14	2.82	1.26	-2.14	3.79
322	C. innocuum	DL-R2	2/1/19	18	18	Dox_10µM	2	202	94	148	0.08								
323	C. innocuum	DL-R3	2/1/19	18	18	Dox_10µM	3	228	94	174	0.08								
324	C. innocuum	DL-R1	7/21/2020a	18	18	Dox_10µM	1	383	86	329	-3.62								
325	C. innocuum	DL-R2	7/21/2020a	18	18	Dox_10µM	2	489	80	435	-6.39								
326	C. innocuum	DM-R1	2/1/19	18	18	Dox_100µM	1			0	100.00								
327	C. innocuum	DM-R2	2/1/19	18	18	Dox_100µM	2			0	100.00								
328	C. innocuum	DM-R3	2/1/19	18	18	Dox_100µM	3			0	100.00								
329	C. innocuum	DH-R1	2/1/19	18	18	Dox_250µM	1			0	250.00								
330	C. innocuum	DH-R2	2/1/19	18	18	Dox_250µM	2			0	250.00								
331	C. innocuum	DH-R3	2/1/19	18	18	Dox_250µM	3			0	250.00								
332	C. innocuum	Ct-R1	2/1/19	24	24	Ctrl	1	715	58	662	-16.55	427.63	116.15	29.04	-5.34	5.83	1.76	-5.34	0.00
333	C. innocuum	Ct-R2	2/1/19	24	24	Ctrl	2	682	87	629	-3.16								
334	C. innocuum	Ct-R3	2/1/19	24	24	Ctrl	3	701	87	648	-3.16								
335	C. innocuum	Ct-R1	7/20/20	24	24	Ctrl	1	420		367									
336	C. innocuum	Ct-R2	7/20/20	24	24	Ctrl	2	450		397									
337	C. innocuum	Ct-R1	7/21/2020a	24	24	Ctrl	1	449	96	396	1.00								
338	C. innocuum	Ct-R2	7/21/2020a	24	24	Ctrl	2	431	103	378	4.23								
339	C. innocuum	Ct-R1	7/21/2020b	24	24	Ctrl	1	76	135										
340	C. innocuum	Ct-R2	7/21/2020b	24	24	Ctrl	2	422		369									
341	C. innocuum	Ct-R1	7/26/20	24	24	Ctrl	1	502		448									
342	C. innocuum	Ct-R2	7/26/20	24	24	Ctrl	2	402		348									
343	C. innocuum	Ct-R1	7/28/2020a	24	24	Ctrl	1	359	80	306	-6.39								
344	C. innocuum	Ct-R2	7/28/2020a	24	24	Ctrl	2	446	78	393	-7.31								
345	C. innocuum	Ct-R1	7/28/2020b	24	24	Ctrl	1	399	68	346	-11.93								
346	C. innocuum	Ct-R2	7/28/2020b	24	24	Ctrl	2	477	74	424	-9.16								
347	C. innocuum	Ct-R1	7/30/20	24	24	Ctrl	1	349	86	296	-3.62								
348	C. innocuum	Ct-R2	7/30/20	24	24	Ctrl	2	488	88	435	-2.69								
349	C. innocuum	DL-R1	2/1/19	24	24	Dox_10µM	1	699	92	645	-0.85	209.35	239.06	57.98	4.91	7.75	1.88	4.91	10.25
350	C. innocuum	DL-R2	2/1/19	24	24	Dox_10µM	2	644	89	590	-2.23								
351	C. innocuum	DL-R3	2/1/19	24	24	Dox_10µM	3	659	88	605	-2.69								
352	C. innocuum	DL-R1	7/21/2020b	24	24	Dox_10µM	1	64	142	10	22.25								
353	C. innocuum	DL-R2	7/21/2020b	24	24	Dox_10µM	2	57	117	3	10.70								
354	C. innocuum	DL-R1	7/26/20	24	24	Dox_10µM	1	58	117	4	10.70								
355	C. innocuum	DL-R2	7/26/20	24	24	Dox_10µM	2	59	114	5	9.31								
356	C. innocuum	DL-R1	7/28/2020a	24	24	Dox_10µM	1	340	92	286	-0.85								
357	C. innocuum	DL-R2	7/28/2020a	24	24	Dox_10µM	2	412	82	358	-5.47								
358	C. innocuum	DL-R1	7/28/2020b	24	24	Dox_10µM	1	53	112	-1	8.39								
359	C. innocuum	DL-R2	7/28/2020b	24	24	Dox_10µM	2	390	87	336	-3.16								
360	C. innocuum	DL-R3	7/28/2020b	24	24	Dox_10µM	3	111	103	57	4.23								
361	C. innocuum	DL-R4	7/28/2020b	24	24	Dox_10µM	4	462	85	408	-4.08								
362	C. innocuum	DL-R5	7/28/2020b	24	24	Dox_10µM	5	236	122	182	13.01								
363	C. innocuum	DL-R6	7/28/2020b	24	24	Dox_10µM	6	58	122	4	13.01								
364	C. innocuum	DL-R1	7/30/20	24	24	Dox_10µM	1	63	106	9	5.62								
365	C. innocuum	DL-R2	7/30/20	24	24	Dox_10µM	2	112	106	58	5.62								
366	C. innocuum	DM-R1	2/1/19	24	24	Dox_100µM	1	66	172	8	36.11	5.75	5.18	1.83	85.07	27.19	9.06	85.07	90.41
367	C. innocuum	DM-R2	2/1/19	24	24	Dox_100µM	2	67	212	9	54.58								
368	C. innocuum	DM-R3	2/1/19	24	24	Dox_100µM	3	68	231	10	63.36								
369	C. innocuum	DM-R1	7/15/20	24	24	Dox_100µM	1		323		105.86								
370	C. innocuum	DM-R1	7/20/20	24	24	Dox_100µM	1	55	305	-3	97.54								
371	C. innocuum	DM-R2	7/20/20	24	24	Dox_100µM	2	60	343	2	115.09								
372	C. innocuum	DM-R1	7/21/2020b	24	24	Dox_100µM	1	70	319	12	104.01								
373	C. innocuum	DM-R2	7/21/2020b	24	24	Dox_100µM	2	59	284	1	87.84								
374	C. innocuum	DM-R1	7/28/2020b	24	24	Dox_100µM	1	65	313	7	101.24								
375	C. innocuum	DH-R1	2/1/19	24	24	Dox_250µM	1	83	606	17	236.58	10.40	10.01	4.48	221.49	42.93	17.53	221.49	226.83
376	C. innocuum	DH-R2	2/1/19	24	24	Dox_250µM	2	84	394	18	138.65								
377	C. innocuum	DH-R3	2/1/19	24	24	Dox_250µM	3	84	590	18	229.19								
378	C. innocuum	DH-R1	7/15/20	24	24	Dox_250µM	1		566		218.10								
379	C. innocuum	DH-R1	7/20/20	24	24	Dox_250µM	1	64	632	-2	248.59								
380	C. innocuum	DH-R2	7/20/20	24	24	Dox_250µM	2	67	652	1	257.83								
381	Lactobacillus	Ct-R1	1/28/19	0	0	Ctrl	1			0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
382	Lactobacillus	Ct-R2	1/28/19	0	0	Ctrl	2			0	0.00								
383	Lactobacillus	Ct-R3	1/26/19	0	0	Ctrl	3			0	0.00								
384	Lactobacillus	DL-R1	1/28/19	0	0	Dox_10µM	1			0	10.00	0.00	0.00	0.00	10.00	0.00	0.00	10.00	10.00
385	Lactobacillus	DL-R2	1/28/19	0	0	Dox_10µM	2			0	10.00								
386	Lactobacillus	DL-R3	1/26/19	0	0	Dox_10µM	3			0	10.00								
387	Lactobacillus	DM-R1	1/28/19	0	0	Dox_100µM	1			0	100.00	0.00	0.00	0.00	100.00	0.00	0.00	100.00	100.00
388	Lactobacillus	DM-R2	1/28/19	0	0	Dox_100µM	2			0	100.00								
389	Lactobacillus	DM-R3	1/26/19	0	0	Dox_100µM	3			0	100.00								
390	Lactobacillus	DH-R1	1/28/19	0	0	Dox_250µM	1			0	250.00	0.00	0.00	0.00	250.00	0.00	0.00	250.00	250.00
391	Lactobacillus	DH-R2	1/28/19	0	0	Dox_250µM	2			0	250.00								
392	Lactobacillus	DH-R3	1/26/19	0	0	Dox_250µM	3			0	250.00								
393	Lactobacillus	Ct-R1	1/28/19	3	3	Ctrl	1			0	0.00								
394	Lactobacillus	Ct-R2	1/28/19	3	3	Ctrl	2			0	0.00								
395	Lactobacillus	Ct-R3	1/26/19	3	3	Ctrl	3			0	0.00								
396	Lactobacillus	DL-R1	1/28/19	3	3	Dox_10µM	1			0	10.00								
397	Lactobacillus	DL-R2	1/28/19	3	3	Dox_10µM	2			0	10.00								
398	Lactobacillus	DL-R3	1/26/19	3	3	Dox_10µM	3			0	10.00								
399	Lactobacillus	DM-R1	1/28/19	3	3	Dox_100µM	1			0	100.00								
400	Lactobacillus	DM-R2	1/28/19	3	3	Dox_100µM	2			0	100.00								
401	Lactobacillus	DM-R3	1/26/19	3	3	Dox_100µM	3			0	100.00								
402	Lactobacillus	DH-R1	1/28/19	3	3	Dox_250µM	1			0	250.00								
403	Lactobacillus	DH-R2	1/28/19	3	3	Dox_250µM	2			0	250.00								
404	Lactobacillus	DH-R3	1/26/19	3	3	Dox_250µM	3			0	250.00								
405	Lactobacillus	Ct-R1	1/28/19	6	6	Ctrl	1			0	0.00								
406	Lactobacillus	Ct-R2	1/28/19	6	6	Ctrl	2			0	0.00								
407	Lactobacillus	Ct-R3	1/26/19	6	6	Ctrl	3			0	0.00								
408	Lactobacillus	DL-R1	1/28/19	6	6	Dox_10µM	1			0	10.00								
409	Lactobacillus	DL-R2	1/28/19	6	6	Dox_10µM	2			0	10.00								
410	Lactobacillus	DL-R3	1/26/19	6	6	Dox_10µM	3			0	10.00								
411	Lactobacillus	DM-R1	1/28/19	6	6	Dox_100µM	1			0	100.00								
412	Lactobacillus	DM-R2	1/28/19	6	6	Dox_100µM	2			0	100.00								
413	Lactobacillus	DM-R3	1/26/19	6	6	Dox_100µM	3			0	100.00								
414	Lactobacillus	DH-R1	1/28/19	6	6	Dox_250µM	1			0	250.00								
415	Lactobacillus	DH-R2	1/28/19	6	6	Dox_250µM	2			0	250.00								
416	Lactobacillus	DH-R3	1/26/19	6	6	Dox_250µM	3			0	250.00								
417	Lactobacillus	Ct-R1	1/28/19	12	12	Ctrl	1	83	90	30	-1.77	32.50	3.54	2.50	-2.00	0.33	0.23	-2.00	0.00
418	Lactobacillus	Ct-R2	1/28/19	12	12	Ctrl	2	88	89	35	-2.23								
419	Lactobacillus	Ct-R3	1/26/19	12	12	Ctrl	3												
420	Lactobacillus	DL-R1	1/28/19	12	12	Dox_10µM	1			0	10.00								
421	Lactobacillus	DL-R2	1/28/19	12	12	Dox_10µM	2			0	10.00								
422	Lactobacillus	DL-R3	1/26/19	12	12	Dox_10µM	3			0	10.00								
423	Lactobacillus	DM-R1	1/28/19	12	12	Dox_100µM	1			0	100.00								
424	Lactobacillus	DM-R2	1/28/19	12	12	Dox_100µM	2			0	100.00								
425	Lactobacillus	DM-R3	1/26/19	12	12	Dox_100µM	3			0	100.00								
426	Lactobacillus	DH-R1	1/28/19	12	12	Dox_250µM	1			0	250.00								
427	Lactobacillus	DH-R2	1/28/19	12	12	Dox_250µM	2			0	250.00								
428	Lactobacillus	DH-R3	1/26/19	12	12	Dox_250µM	3			0	250.00								
429	Lactobacillus	Ct-R1	2/1/19	18	18	Ctrl	1	96	101	43	3.31	47.67	4.16	2.40	5.62	2.12	1.22	5.62	0.00
430	Lactobacillus	Ct-R2	2/1/19	18	18	Ctrl	2	102	110	49	7.47								
431	Lactobacillus	Ct-R3	2/1/19	18	18	Ctrl	3	104	107	51	6.08								
432	Lactobacillus	DL-R1	2/1/19	18	18	Dox_10µM	1	57	133	3	18.09	3.33	0.58	0.33	18.25	0.27	0.15	18.25	12.63
433	Lactobacillus	DL-R2	2/1/19	18	18	Dox_10µM	2	57	133	3	18.09								
434	Lactobacillus	DL-R3	2/1/19	18	18	Dox_10µM	3	58	134	4	18.55								
435	Lactobacillus	DM-R1	1/28/19	18	18	Dox_100µM	1			0	100.00								
436	Lactobacillus	DM-R2	1/28/19	18	18	Dox_100µM	2			0	100.00								
437	Lactobacillus	DM-R3	1/26/19	18	18	Dox_100µM	3			0	100.00								
438	Lactobacillus	DH-R1	1/28/19	18	18	Dox_250µM	1			0	250.00								
439	Lactobacillus	DH-R2	1/28/19	18	18	Dox_250µM	2			0	250.00								
440	Lactobacillus	DH-R3	1/26/19	18	18	Dox_250µM	3			0	250.00								
441	Lactobacillus	Ct-R1	1/28/19	24	24	Ctrl	1	234	84	181	-4.54	66.00	82.90	24.99	-1.03	4.44	1.98	-1.03	0.00
442	Lactobacillus	Ct-R2	1/28/19	24	24	Ctrl	2	243	85	190	-4.08								
443	Lactobacillus	Ct-R3	1/26/19	24	24	Ctrl	3	255	86	202	-3.62								
444	Lactobacillus	Ct-R1	7/23/20	24	24	Ctrl	1	69		16									
445	Lactobacillus	Ct-R1	7/26/20	24	24	Ctrl	1	130		77									
446	Lactobacillus	Ct-R2	7/26/20	24	24	Ctrl	2	64	106	11	5.62								
447	Lactobacillus	Ct-R3	7/26/20	24	24	Ctrl	3	64	97	11	1.46								
448	Lactobacillus	Ct-R1	7/28/20	24	24	Ctrl	1	67		14									
449	Lactobacillus	Ct-R2	7/28/20	24	24	Ctrl	2	57		4									
450	Lactobacillus	Ct-R1	7/30/20	24	24	Ctrl	1	71		18									
451	Lactobacillus	Ct-R2	7/30/20	24	24	Ctrl	2	55		2									
452	Lactobacillus	DL-R1	1/28/19	24	24	Dox_10µM	1	82	100	28	2.85	18.20	23.32	10.43	4.70	2.17	0.97	4.70	5.73
453	Lactobacillus	DL-R2	1/28/19	24	24	Dox_10µM	2	108	100	54	2.85								
454	Lactobacillus	DL-R3	1/26/19	24	24	Dox_10µM	3	65	102	11	3.77								
455	Lactobacillus	DL-R1	7/26/20	24	24	Dox_10µM	1	51	108	-3	6.54								
456	Lactobacillus	DL-R2	7/26/20	24	24	Dox_10µM	2	55	110	1	7.47								
457	Lactobacillus	DM-R1	1/28/19	24	24	Dox_100µM	1	55	266	-3	79.53	-0.67	4.04	2.33	92.92	12.40	7.16	92.92	93.95
458	Lactobacillus	DM-R2	1/28/19	24	24	Dox_100µM	2	55	300	-3	95.23								
459	Lactobacillus	DM-R3	1/26/19	24	24	Dox_100µM	3	62	319	4	104.01								
460	Lactobacillus	DH-R1	1/28/19	24	24	Dox_250µM	1			0	250.00	3.33	5.77	3.33	252.92	5.05	2.92	252.92	253.95
461	Lactobacillus	DH-R2	1/28/19	24	24	Dox_250µM	2			0	250.00								
462	Lactobacillus	DH-R3	1/26/19	24	24	Dox_250µM	3	76	654	10	258.75								
